CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,4,-,-,-,"4,400.00",-,"1,800","3,390.40","4,388.10","1,500","17,350.00",-,-,0.05,"18,200",-0.15,0.05,111.32,"1,20,771","-27,101","14,254",
,209,-88,294,-,"3,892.30",-237.25,250,"3,892.30","4,042.45","1,500","17,400.00",-,-,0.05,"19,400",-0.45,0.05,109.87,"25,469","-2,757","2,688",
,-,-,-,-,-,-,"1,500","3,694.95","4,008.35","1,500","17,450.00",-,-,0.05,"2,750",-0.55,0.05,108.42,"19,214","-2,325","1,462",
,736,-446,"1,181",158.36,"3,861.70",-124.50,50,"3,849.75","3,863.65",500,"17,500.00","25,500",0.05,0.10,"10,900",-0.50,0.05,106.97,"18,491","-5,597","8,622",
,5,-,-,-,"4,050.00",-,"1,500","3,663.15","3,897.95","1,500","17,550.00","4,650",0.05,0.10,50,-0.65,0.05,105.53,"3,521",13,706,
,1,-1,3,-,"3,683.85",33.85,"1,550","3,644.50","3,789.55","1,650","17,600.00",-,-,0.10,"3,750",-0.60,0.05,104.09,"7,855",-714,"1,340",
,-,-,-,-,-,-,"1,500","3,555.15","3,796.90","1,500","17,650.00","3,150",0.05,0.10,200,-0.65,0.05,102.66,"3,186",-598,579,
,-,-,-,-,-,-,"1,500","3,340.40","3,941.60","1,500","17,700.00",-,-,0.10,"1,700",-0.65,0.05,101.22,"1,635",-292,253,
,15,-18,33,190.81,"3,631.70",80.70,200,"3,585.60","3,698.75","1,500","17,750.00",-,-,0.10,400,-0.60,0.10,104.63,"3,023",-701,171,
,53,-79,133,-,"3,544.40",-115.60,150,"3,544.70","3,627.50","1,500","17,800.00",-,-,0.05,"10,950",-0.55,0.05,98.37,"4,728",-69,"1,467",
,2,-,2,-,"3,470.00",90.00,"1,500","3,316.15","3,583.55","1,500","17,850.00",-,-,0.10,450,-0.60,0.10,101.65,"2,614",-247,304,
,13,-43,60,-,"3,368.40",-91.60,300,"3,403.25","3,472.35",200,"17,900.00","18,750",0.05,0.10,"6,400",-0.60,0.05,95.52,"9,273",-41,"2,463",
,-,-,-,-,-,-,"1,500","2,986.20","3,721.80","1,500","17,950.00",-,-,0.30,"1,800",-0.60,0.15,101.67,"3,629","-1,079",323,
,"3,879",-656,"3,390",123.27,"3,359.10",-110.05,200,"3,346.20","3,365.10",50,"18,000.00","40,800",0.05,0.10,"6,900",-0.35,0.05,92.69,"26,152","-3,091","9,829",
,1,-,-,-,"3,671.00",-,"1,500","3,119.70","3,370.60","1,500","18,050.00",-,-,0.15,"6,500",-0.65,0.15,98.64,"2,889",-709,272,
