strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue
12000,25-Jun-2026,12000.0,25-Jun-2026,NIFTY,OPTIDXNIFTY25-06-2026PE12000.00,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,3.1,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
12000,31-Dec-2026,12000.0,31-Dec-2026,NIFTY,OPTIDXNIFTY31-12-2026PE12000.00,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,3.25,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
13000,24-Dec-2025,13000.0,24-Dec-2025,NIFTY,OPTIDXNIFTY24-12-2025PE13000.00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,3.15,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
13000,25-Jun-2026,13000.0,25-Jun-2026,NIFTY,OPTIDXNIFTY25-06-2026PE13000.00,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,4.85,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
13000,31-Dec-2026,13000.0,31-Dec-2026,NIFTY,OPTIDXNIFTY31-12-2026PE13000.00,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,9.15,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
14000,27-Jun-2024,14000.0,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024PE14000.00,244.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13650.0,1050.0,900.0,1.8,150.0,2.5,22605.8,,,,,,,,,,,,,,,,,,,
14000,26-Dec-2024,14000.0,26-Dec-2024,NIFTY,OPTIDXNIFTY26-12-2024PE14000.00,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4350.0,0.0,2550.0,3.05,0.0,0.0,22605.8,14000.0,26-Dec-2024,NIFTY,OPTIDXNIFTY26-12-2024CE14000.00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22605.8
14000,26-Jun-2025,14000.0,26-Jun-2025,NIFTY,OPTIDXNIFTY26-06-2025PE14000.00,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,3.15,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
14000,25-Jun-2026,14000.0,25-Jun-2026,NIFTY,OPTIDXNIFTY25-06-2026PE14000.00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,500.0,14.9,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
14000,31-Dec-2026,14000.0,31-Dec-2026,NIFTY,OPTIDXNIFTY31-12-2026PE14000.00,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,22.6,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
15000,27-Jun-2024,15000.0,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024PE15000.00,4900.5,0.0,0.0,21.0,34.46,3.4,-0.30000000000000027,-8.108108108108116,26750.0,12200.0,600.0,3.45,100.0,3.85,22605.8,15000.0,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024CE15000.00,8161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,250.0,7659.9,0.0,0.0,22605.8
15000,26-Dec-2024,15000.0,26-Dec-2024,NIFTY,OPTIDXNIFTY26-12-2024PE15000.00,574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0,0.0,6800.0,3.05,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
15000,26-Jun-2025,15000.0,26-Jun-2025,NIFTY,OPTIDXNIFTY26-06-2025PE15000.00,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,7.75,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
15000,24-Dec-2025,15000.0,24-Dec-2025,NIFTY,OPTIDXNIFTY24-12-2025PE15000.00,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,800.0,21.9,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
15000,25-Jun-2026,15000.0,25-Jun-2026,NIFTY,OPTIDXNIFTY25-06-2026PE15000.00,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,600.0,24.6,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
15000,31-Dec-2026,15000.0,31-Dec-2026,NIFTY,OPTIDXNIFTY31-12-2026PE15000.00,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,600.0,26.95,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
15000,30-Dec-2027,15000.0,30-Dec-2027,NIFTY,OPTIDXNIFTY30-12-2027PE15000.00,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,600.0,30.85,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
16000,27-Jun-2024,16000.0,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024PE16000.00,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28550.0,0.0,23150.0,3.05,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
16000,26-Sep-2024,16000.0,26-Sep-2024,NIFTY,OPTIDXNIFTY26-09-2024PE16000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,2300.0,3.05,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
16000,26-Dec-2024,16000.0,26-Dec-2024,NIFTY,OPTIDXNIFTY26-12-2024PE16000.00,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311900.0,0.0,5900.0,4.5,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
16000,26-Jun-2025,16000.0,26-Jun-2025,NIFTY,OPTIDXNIFTY26-06-2025PE16000.00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,500.0,23.0,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
16000,24-Dec-2025,16000.0,24-Dec-2025,NIFTY,OPTIDXNIFTY24-12-2025PE16000.00,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,800.0,27.25,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
16000,25-Jun-2026,16000.0,25-Jun-2026,NIFTY,OPTIDXNIFTY25-06-2026PE16000.00,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,700.0,31.9,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
16000,31-Dec-2026,16000.0,31-Dec-2026,NIFTY,OPTIDXNIFTY31-12-2026PE16000.00,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,600.0,36.15,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
16000,24-Jun-2027,16000.0,24-Jun-2027,NIFTY,OPTIDXNIFTY24-06-2027PE16000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,39.45,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
16000,30-Dec-2027,16000.0,30-Dec-2027,NIFTY,OPTIDXNIFTY30-12-2027PE16000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,600.0,42.1,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
16000,29-Jun-2028,16000.0,29-Jun-2028,NIFTY,OPTIDXNIFTY29-06-2028PE16000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,600.0,43.85,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
16000,28-Dec-2028,16000.0,28-Dec-2028,NIFTY,OPTIDXNIFTY28-12-2028PE16000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,44.95,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
16500,24-Dec-2025,16500.0,24-Dec-2025,NIFTY,OPTIDXNIFTY24-12-2025PE16500.00,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,700.0,32.0,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
17000,27-Jun-2024,17000.0,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024PE17000.00,3676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38800.0,0.0,31200.0,3.05,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
17000,26-Sep-2024,17000.0,26-Sep-2024,NIFTY,OPTIDXNIFTY26-09-2024PE17000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,3200.0,4.3,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
17000,26-Dec-2024,17000.0,26-Dec-2024,NIFTY,OPTIDXNIFTY26-12-2024PE17000.00,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4750.0,0.0,2050.0,20.6,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
17000,27-Mar-2025,17000.0,27-Mar-2025,NIFTY,OPTIDXNIFTY27-03-2025PE17000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,750.0,25.65,0.0,0.0,22605.8,,,,,,,,,,,,,,,,,,,
