Position Type,Entry Price,Entry Time,Exit Price,Profit/Loss
Long,22374.0,2024-04-03 09:35:00,22458.0,84.0
Short,22428.6,2024-04-03 10:48:00,22458.0,-29.400000000001455
Long,22445.15,2024-04-03 11:03:00,22458.0,12.849999999998545
Short,22452.95,2024-04-03 11:47:00,22458.0,-5.049999999999272
Long,22456.45,2024-04-03 12:02:00,22458.0,1.5499999999992724
Short,22490.9,2024-04-03 13:08:00,22458.0,32.900000000001455
Long,22504.35,2024-04-03 13:39:00,22458.0,-46.349999999998545
Short,22489.7,2024-04-03 13:52:00,22458.0,31.700000000000728
Long,22494.95,2024-04-03 14:14:00,22458.0,-36.95000000000073
Short,22472.0,2024-04-03 14:23:00,22458.0,14.0
Long,22445.9,2024-04-03 15:27:00,22458.0,12.099999999998545
Short,22492.1,2024-04-04 09:36:00,22458.0,34.099999999998545
Long,22442.35,2024-04-04 10:25:00,22458.0,15.650000000001455
Short,22413.65,2024-04-04 10:28:00,22458.0,-44.349999999998545
Long,22430.5,2024-04-04 10:42:00,22458.0,27.5
Short,22415.3,2024-04-04 10:44:00,22458.0,-42.70000000000073
Long,22413.0,2024-04-04 11:15:00,22458.0,45.0
Short,22371.75,2024-04-04 11:35:00,22458.0,-86.25
Long,22412.4,2024-04-04 11:49:00,22458.0,45.599999999998545
Short,22380.2,2024-04-04 11:58:00,22458.0,-77.79999999999927
Long,22403.95,2024-04-04 12:11:00,22458.0,54.04999999999927
Short,22387.7,2024-04-04 12:13:00,22458.0,-70.29999999999927
Long,22393.65,2024-04-04 12:25:00,22458.0,64.34999999999854
Short,22498.55,2024-04-04 13:51:00,22458.0,40.54999999999927
Long,22552.05,2024-04-04 14:02:00,22458.0,-94.04999999999927
Short,22537.0,2024-04-04 14:54:00,22458.0,79.0
Long,22535.45,2024-04-04 15:21:00,22458.0,-77.45000000000073
Short,22470.4,2024-04-05 09:16:00,22458.0,12.400000000001455
Long,22488.3,2024-04-05 09:52:00,22458.0,-30.299999999999272
Short,22472.75,2024-04-05 10:07:00,22458.0,14.75
Long,22489.85,2024-04-05 10:23:00,22458.0,-31.849999999998545
Short,22480.05,2024-04-05 11:22:00,22458.0,22.049999999999272
Long,22503.9,2024-04-05 11:39:00,22458.0,-45.900000000001455
Short,22492.75,2024-04-05 11:44:00,22458.0,34.75
Long,22504.7,2024-04-05 11:56:00,22458.0,-46.70000000000073
Short,22491.2,2024-04-05 12:03:00,22458.0,33.20000000000073
Long,22498.5,2024-04-05 12:07:00,22458.0,-40.5
Short,22494.35,2024-04-05 12:42:00,22458.0,36.349999999998545
Long,22506.0,2024-04-05 12:53:00,22458.0,-48.0
Short,22496.0,2024-04-05 12:57:00,22458.0,38.0
Long,22498.2,2024-04-05 13:23:00,22458.0,-40.20000000000073
Short,22490.4,2024-04-05 13:41:00,22458.0,32.400000000001455
Long,22496.45,2024-04-05 13:42:00,22458.0,-38.45000000000073
Short,22493.05,2024-04-05 13:43:00,22458.0,35.04999999999927
Long,22499.6,2024-04-05 13:51:00,22458.0,-41.599999999998545
Short,22502.95,2024-04-05 14:18:00,22458.0,44.95000000000073
Long,22505.0,2024-04-05 14:59:00,22458.0,-47.0
Short,22608.7,2024-04-08 10:28:00,22458.0,150.70000000000073
Long,22616.85,2024-04-08 10:30:00,22458.0,-158.84999999999854
Short,22612.7,2024-04-08 10:48:00,22458.0,154.70000000000073
Long,22623.75,2024-04-08 10:51:00,22458.0,-165.75
