strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue
12000,25-Jun-2026,12000.0,25-Jun-2026,NIFTY,OPTIDXNIFTY25-06-2026PE12000.00,10.0,0.0,0.0,0.0,0.0,10.05,0.0,0.0,1800.0,0.0,1800.0,3.1,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
12000,31-Dec-2026,12000.0,31-Dec-2026,NIFTY,OPTIDXNIFTY31-12-2026PE12000.00,12.0,0.0,0.0,0.0,0.0,250.1,0.0,0.0,2300.0,0.0,2300.0,3.25,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
13000,24-Dec-2025,13000.0,24-Dec-2025,NIFTY,OPTIDXNIFTY24-12-2025PE13000.00,3.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,2300.0,0.0,2300.0,3.15,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
13000,25-Jun-2026,13000.0,25-Jun-2026,NIFTY,OPTIDXNIFTY25-06-2026PE13000.00,4.0,0.0,0.0,0.0,0.0,45.25,0.0,0.0,1800.0,0.0,1800.0,5.0,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
13000,31-Dec-2026,13000.0,31-Dec-2026,NIFTY,OPTIDXNIFTY31-12-2026PE13000.00,4.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,2300.0,0.0,2300.0,9.4,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
14000,27-Jun-2024,14000.0,27-Jun-2024,NIFTY,OPTIDXNIFTY27-06-2024PE14000.00,244.5,-96.0,-28.19383259911894,118.0,37.1,2.25,-0.25,-10.0,29150.0,450.0,1550.0,2.25,150.0,2.6,22513.7,,,,,,,,,,,,,,,,,,,
14000,26-Dec-2024,14000.0,26-Dec-2024,NIFTY,OPTIDXNIFTY26-12-2024PE14000.00,66.0,0.0,0.0,0.0,0.0,20.5,0.0,0.0,5850.0,0.0,5350.0,3.05,0.0,0.0,22513.7,14000.0,26-Dec-2024,NIFTY,OPTIDXNIFTY26-12-2024CE14000.00,2.0,0.0,0.0,0.0,0.0,8800.0,0.0,0.0,500.0,0.0,500.0,8743.15,0.0,0.0,22513.7
14000,26-Jun-2025,14000.0,26-Jun-2025,NIFTY,OPTIDXNIFTY26-06-2025PE14000.00,23.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,3300.0,0.0,3300.0,3.15,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
14000,25-Jun-2026,14000.0,25-Jun-2026,NIFTY,OPTIDXNIFTY25-06-2026PE14000.00,2.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,1800.0,0.0,1800.0,15.45,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
14000,31-Dec-2026,14000.0,31-Dec-2026,NIFTY,OPTIDXNIFTY31-12-2026PE14000.00,19.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,800.0,0.0,750.0,22.95,0.0,0.0,22513.7,,,,,,,,,,,,,,,,,,,
